Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Real Madrid,SLL,15(3),1220,6,2,3,-,3.2,79.6,1.3,2,7.06
2018/2019,Real Madrid,UCL,5(1),428,3,2,-,-,3.3,82.7,1.3,-,7.64
2018/2019,Wales,UNL,3,255,2,1,-,-,5.7,69,5.7,2,8.4
2017/2018,Real Madrid,SLL,20(6),1803,16,2,5,-,3,82.5,1.3,6,7.49
2017/2018,Real Madrid,UCL,3(4),296,3,2,1,-,1.6,83.2,1.3,2,7.21
2016/2017,Real Madrid,SLL,17(2),1425,7,2,3,1,3.4,78.9,1.7,3,7.49
2016/2017,Real Madrid,UCL,7(1),509,2,1,-,-,2.8,79.2,1.6,1,7.28
2015/2016,Real Madrid,SLL,21(2),1741,19,10,2,-,3.5,79.9,0.9,5,8.12
2015/2016,Real Madrid,UCL,8,643,-,2,1,-,3.8,84,1.9,2,7.58
2014/2015,Real Madrid,SLL,30(1),2582,13,9,2,-,3.3,78,1.3,2,7.66
2014/2015,Real Madrid,UCL,9(1),827,2,1,-,-,3.4,78.3,1.2,2,7.33
2016,Wales,UEC,6,533,3,-,1,-,4.3,69.2,3.3,4,8.22
2013/2014,Real Madrid,SLL,24(3),2073,15,12,3,-,3.3,76.3,1.1,5,7.75
2013/2014,Real Madrid,UCL,8(4),873,6,4,-,-,2.7,80.5,1.3,-,7.63
2012/2013,Tottenham,UEL,8,716,3,3,3,-,3.4,78,1.1,1,7.63
2012/2013,Tottenham,EPL,33,2925,21,4,6,-,5,78.6,1.7,11,7.92
2011/2012,Tottenham,EPL,36,3217,9,10,3,-,3.8,82.5,1,8,7.66
2010/2011,Tottenham,UCL,8(1),735,4,2,-,-,2.2,75.6,1,3,7.83
2010/2011,Tottenham,EPL,29(1),2452,7,1,1,-,2.1,74.3,1.1,3,7.38
2009/2010,Tottenham,EPL,18(5),1707,3,5,2,-,1.7,64.9,2,2,7.64
Total / Average,,,343,26960,144,75,36,1,3.2,78,1.4,64,7.63
